1234567890->PUNTOS: {0} / {1}	POINTS : {0} / {1}	PUNKTE: {0} / {1}	PUNTI: {0} / {1}	积分：{0} / {1}	ポイント: {0} / {1}	포인트: {0} / {1}	PUNKTY: {0} / {1}	PONTOS: {0} / {1}	БАЛЛЫ: {0} / {1}
Posibilidad de que una oveja sea una oveja negra, reactivando su lazo una vez que esté enlazada	Possibilité pour un mouton de devenir un mouton noir, en redéclenchant votre lasso une fois lorsqu'il est pris au lasso	Es besteht die Möglichkeit, dass ein Schaf ein schwarzes Schaf ist, wodurch Ihr Lasso beim Lassofangen einmal erneut ausgelöst wird.	Possibilità che una pecora sia una pecora nera, riattivando il tuo lazo una volta quando sei stata presa al lazo	羊有几率变成黑羊，被套索时会重新触发一次套索	羊が黒い羊になる可能性があり、投げ縄で捕獲されたときに投げ縄が1回再発動される	양이 검은 양이 될 확률, 올가미에 걸렸을 때 올가미가 한 번 다시 작동합니다.	Szansa na to, że owca będzie czarną owcą, ponowne uruchomienie lassa po złapaniu	Chance de uma ovelha ser uma ovelha negra, reativando seu laço uma vez quando laçada	Вероятность того, что овца окажется черной овцой, повторно активирует ваше лассо один раз, когда на вас нападут.
Por determinar	À déterminer	Wird noch bekannt gegeben	Da definire	待定	未定	미정	Do ustalenia	A definir	Будет определено
Por determinar	À déterminer	Wird noch bekannt gegeben	Da definire	待定	未定	미정	Do ustalenia	A definir	Будет определено
Imitador	Copieur	Nachahmer	Imitatore	山寨	模倣者	모방범	Naśladowca	Imitador	Подражатель
Los gatos se convierten en el animal más valioso de tu lazo cuando los capturas.	Les chats deviennent l'animal le plus précieux de votre lasso lorsqu'ils sont capturés	Katzen werden zum wertvollsten Tier in Ihrem Lasso, wenn sie gefangen werden	I gatti diventano l'animale più prezioso nel tuo lazo quando vengono catturati	猫一旦被捕获，就会成为你套索中最有价值的动物	猫は捕獲されると投げ縄の中で最も価値のある動物になります	고양이는 잡히면 올가미에서 가장 귀중한 동물이 됩니다.	Koty stają się najcenniejszymi zwierzętami na twoim lassie, gdy zostaną złapane	Os gatos se tornam o animal mais valioso em seu laço quando capturados	Кошки становятся самыми ценными животными в вашем лассо, когда их ловят.
Extravagante de huevos	Eggstravagant	Eggstravagant	Stravagante	鸡蛋狂欢	エッグストラヴァガント	에그스트라바간트	Jajeczny	Extravagante	Яйцеед
Las gallinas ahora pueden poner huevos que otorgan x1,5 puntos de multiplicación cuando se les lanza un lazo.	Les poules peuvent désormais pondre des œufs qui donnent x1,5 points multiplicateurs lorsqu'elles sont capturées au lasso	Hühner können jetzt Eier legen, die beim Einfangen mit dem Lasso 1,5 Punkte bringen.	Le galline ora possono deporre uova che danno x1,5 punti moltiplicati quando vengono catturate con il lazo	鸡现在可以下蛋了，用套索套住可以得到 1.5 倍积分	鶏は卵を産むようになり、投げ縄で捕まえると1.5倍のポイントが加算される。	이제 닭은 올가미로 묶으면 1.5배의 포인트를 얻을 수 있는 알을 낳을 수 있습니다.	Kury mogą teraz znosić jaja, które dają mnożnik x1,5 po złapaniu na lasso	As galinhas agora podem botar ovos que dão x1,5 pontos de multiplicação quando laçados	Куры теперь могут откладывать яйца, дающие множитель в 1,5 очка при ловле на лассо.
Siempre más rápido	Toujours plus rapide	Für immer schneller	Sempre più veloce	永远更快	永遠に速く	영원히 더 빠르게	Na zawsze szybciej	Para sempre mais rápido	Навсегда быстрее
Bonificación cuando se captura en medio del ataque	Bonus en cas de capture en plein bond	Bonus bei Gefangennahme mitten im Sprung	Bonus quando catturato a metà balzo	突袭中被捕获时获得奖励	飛びかかり途中で捕獲されたときのボーナス	공격 도중 잡히면 보너스 획득	Bonus po schwytaniu w trakcie skoku	Bônus quando capturado no meio do ataque	Бонус при поимке в середине прыжка
Buen chico	Bon garçon	Guter Junge	Bravo ragazzo	好孩子	いい子	착한 소년	Grzeczny chłopiec	Bom menino	Хороший мальчик
Los perros ahuyentan a los depredadores. Los perros valen +5.0x de efectivo cuando se les enlaza con cualquier depredador.	Les chiens chassent les prédateurs. Leur valeur est multipliée par 5 lorsqu'ils sont pris au piège d'un prédateur.	Hunde verjagen Raubtiere. Hunde sind +5,0x Bargeld wert, wenn sie mit einem Raubtier eingefangen werden	I cani scacciano i predatori. I cani valgono +5,0x denaro quando vengono catturati da un predatore.	狗会驱赶掠食者。用任何掠食者套住狗，狗的价值都会增加 5 倍。	犬は捕食動物を追い払います。捕食動物に捕らえられた犬は、現金価値が5倍になります。	개는 포식자를 쫓아냅니다. 포식자와 함께 올가미로 묶이면 현금 가치가 5배 증가합니다.	Psy odstraszają drapieżniki. Psy są warte +5,0x gotówki, gdy są złapane na lasso przez dowolnego drapieżnika.	Cães afugentam predadores. Cães valem +5,0x em dinheiro quando laçados com qualquer predador.	Собаки отгоняют хищников. Собаки приносят +5,0x денег, если их заарканить на любого хищника.
Hibernar	Hiberner	Überwintern	Ibernare	休眠	休止状態	최대 절전 모드	Hibernować	Hibernar	Спящий режим
Los osos tienen la posibilidad de hibernar y ganar puntos mientras duermen.	Les ours ont la possibilité d'hiberner et de gagner des points pendant leur sommeil.	Bären haben die Möglichkeit, Winterschlaf zu halten und im Schlaf Punkte zu sammeln.	Gli orsi hanno la possibilità di andare in letargo e guadagnare punti mentre dormono	熊有机会冬眠并在睡觉时获得积分	クマは冬眠する可能性があり、寝ている間にポイントを獲得できます	곰은 잠을 자는 동안 동면하여 포인트 가치를 얻을 수 있는 기회가 있습니다.	Niedźwiedzie mają szansę zapaść w sen zimowy i zyskać punkty podczas snu	Os ursos têm a chance de hibernar e ganhar pontos enquanto dormem	У медведей есть шанс впасть в спячку и получить очки во время сна.
Mantenga sus caballos	Retenez vos chevaux	Halten Sie Ihre Pferde	Tieni a freno i cavalli	保持冷静	落ち着いて	말을 잡아라	Wstrzymaj konie	Segure seus cavalos	Придержите лошадей
Los caballos son más lentos y se detienen brevemente en el borde izquierdo de la pantalla.	Les chevaux sont plus lents et s'arrêtent brièvement sur le bord gauche de l'écran	Pferde sind langsamer und bleiben kurz am linken Bildschirmrand stehen	I cavalli sono più lenti e si fermano brevemente sul bordo sinistro dello schermo	马的速度较慢，并会在屏幕左边缘短暂停留	馬は遅くなり、画面の左端で少しの間止まります	말은 더 느리고 화면 왼쪽 가장자리에서 잠시 멈춥니다.	Konie są wolniejsze i zatrzymują się na chwilę przy lewej krawędzi ekranu	Os cavalos são mais lentos e param brevemente na borda esquerda da tela	Лошади медленнее и ненадолго останавливаются у левого края экрана.
Moo-tiplier	Moo-tiplier	Muh-Trinkgeldgeber	Moo-tiplier	穆蒂普利尔	ムーティプリエ	무티플리어	Moo-tiplier	Moo-tiplier	Му-типлиер
Cada vaca capturada acumula 0,25 veces el multiplicador de puntos globales y se reinicia en cada ronda o cuando se captura un depredador.	Chaque vache capturée cumule 0,25x points globaux multiplicateurs, réinitialisés à chaque tour ou lorsqu'un prédateur est capturé	Jede gefangene Kuh zählt das 0,25-fache des globalen Punktemultiplikators und wird in jeder Runde oder beim Fang eines Raubtiers zurückgesetzt.	Ogni mucca catturata accumula 0,25x moltiplicatori di punti globali, azzerandosi a ogni round o quando viene catturato un predatore	每捕获一头牛，全球积分乘以 0.25，每轮重置或捕获捕食者时重置	捕獲された牛ごとに0.25倍のグローバルポイントが加算され、各ラウンドまたは捕食者が捕獲されたときにリセットされます。	포획된 모든 소는 0.25배의 글로벌 포인트 배수를 쌓으며, 매 라운드 또는 포식자가 포획될 때마다 재설정됩니다.	Każda schwytana krowa generuje mnożnik punktów globalnych o wartości 0,25x, resetując się w każdej rundzie lub po schwytaniu drapieżnika	Cada vaca capturada acumula 0,25x pontos globais, reiniciando a cada rodada ou quando um predador é capturado	Каждая пойманная корова приносит 0,25x глобальных очков, сбрасываемых каждый раунд или при поимке хищника.
Cerdos con sombreros	Cochons avec des chapeaux	Schweine mit Hüten	Maiali con cappelli	戴帽子的猪	帽子をかぶった豚	모자를 쓴 돼지들	Świnie w kapeluszach	Porcos com chapéus	Свиньи в шляпах
Los cerdos pueden aparecer aleatoriamente con un sombrero de copa, si es así valen +50 en efectivo y +25 puntos.	Les cochons peuvent apparaître aléatoirement avec un chapeau haut de forme, si c'est le cas, ils valent +50 espèces et +25 points	Schweine können zufällig mit einem Zylinder erscheinen, in diesem Fall sind sie +50 Bargeld und +25 Punkte wert	I maiali possono apparire casualmente con un cappello a cilindro, in tal caso valgono +50 contanti e +25 punti	猪可以随机地戴上高顶礼帽，如果是这样，它们的价值 +50 现金和 +25 积分	豚はランダムにシルクハットをかぶって出現する可能性があり、その場合、現金+50とポイント+25の価値がある。	돼지는 무작위로 모자를 쓰고 나타날 수 있으며, 그렇다면 +50 현금과 +25 포인트의 가치가 있습니다.	Świnie mogą pojawiać się losowo z cylindrem. Jeśli tak się stanie, będą warte +50 gotówki i +25 punktów.	Os porcos podem aparecer aleatoriamente com uma cartola, se assim for, eles valem +50 em dinheiro e +25 pontos	Свиньи могут случайно появиться в цилиндре. В этом случае они будут стоить +50 денег и +25 очков.
Pata de conejo	patte de lapin	Hasenpfote	Zampa di coniglio	兔子脚	ウサギの足	토끼발	Królicza stopa	Pé de coelho	Кроличья лапка
Los conejos tienen un 25% de posibilidades de duplicar sus puntos acumulados cuando están enlazados.	Les lapins ont 25 % de chances de doubler leurs points accumulés lorsqu'ils sont capturés au lasso	Hasen haben eine 25%ige Chance, doppelte Punkte zu sammeln, wenn sie mit dem Lasso eingefangen werden.	I conigli hanno il 25% di possibilità di raddoppiare i punti accumulati quando vengono catturati con il lazo	兔子被套索套住时有 25% 的几率获得双倍积分	ウサギは投げ縄で捕獲されると、25%の確率で貯めたポイントを2倍にする。	토끼는 올가미로 잡히면 25% 확률로 적립 포인트가 두 배로 늘어납니다.	Króliczki mają 25% szans na podwojenie punktów, gdy zostaną złapane na lasso	Os coelhos têm 25% de chance de dobrar os pontos acumulados quando laçados	У кроликов есть 25% шанс удвоить количество очков, когда их заарканивают.
Chivo expiatorio	Bouc émissaire	Sündenbock	Capro espiatorio	替罪羊	スケープゴート	희생양	Koza ofiarna	Bode expiatório	Козел отпущения
Las cabras ahora atraen a todos los depredadores en la pantalla. Las cabras valen +12 puntos y +12 en efectivo por cada depredador capturado con una cabra.	Les chèvres attirent désormais tous les prédateurs à l'écran. Les chèvres valent +12 points et +12 espèces pour chaque prédateur capturé avec une chèvre	Ziegen ziehen jetzt alle Raubtiere auf dem Bildschirm an. Ziegen sind +12 Punkte und +12 Bargeld für jedes mit einer Ziege gefangene Raubtier wert	Le capre ora attraggono tutti i predatori sullo schermo, le capre valgono +12 punti e +12 soldi per ogni predatore catturato con una capra	山羊现在会吸引屏幕上的所有捕食者，每捕获一只捕食者，山羊的价值 +12 分和 +12 现金	ヤギは画面上のすべての捕食動物を引き寄せるようになりました。ヤギで捕獲した捕食動物ごとに+12ポイントと+12キャッシュの価値があります。	염소는 이제 화면의 모든 포식자를 끌어들입니다. 염소는 염소로 잡은 포식자 한 명당 +12포인트와 +12현금의 가치가 있습니다.	Kozy teraz przyciągają wszystkie drapieżniki na ekranie. Kozy są warte +12 punktów i +12 gotówki za każdego drapieżnika schwytanego przez kozę.	As cabras agora atraem todos os predadores na tela. As cabras valem +12 pontos e +12 em dinheiro para cada predador capturado com uma cabra.	Козы теперь привлекают всех хищников на экране. Козы приносят +12 очков и +12 денег за каждого хищника, пойманного с помощью козы.
Ladrón	Voleur	Dieb	Ladro	贼	泥棒	도둑	Złodziej	Ladrão	Вор
Los zorros intercambian estadísticas con	Les Foxes échangent des statistiques avec	Füchse tauschen Statistiken mit	Le volpi scambiano statistiche con	狐狸队与	キツネは統計を交換	여우는 통계를 거래합니다	Lisy wymieniają się statystykami z	As raposas trocam estatísticas com	Лисы обмениваются статистикой с
Tres ratones ciegos	Trois souris aveugles	Drei blinde Mäuse	Tre topi ciechi	三只瞎老鼠	三匹の盲目のネズミ	세 마리의 눈먼 쥐	Trzy ślepe myszy	Três ratos cegos	Три слепые мыши
Cada ratón que captures cuenta como tres ratones, los ratones ahora se mueven aleatoriamente	Chaque souris que vous capturez compte comme trois souris, les souris se déplacent désormais de manière aléatoire	Jede Maus, die Sie fangen, zählt als drei Mäuse, Mäuse bewegen sich jetzt zufällig	Ogni topo che catturi conta come tre topi, i topi ora si muovono in modo casuale	你捕获的每只老鼠都算作三只老鼠，老鼠现在随机移动	捕まえたネズミは3匹としてカウントされ、ネズミはランダムに動きます	잡은 쥐 한 마리는 쥐 3마리로 계산되며 이제 쥐는 무작위로 움직입니다.	Każda złapana mysz liczy się jako trzy myszy, myszy poruszają się teraz losowo	Cada rato que você captura conta como três ratos, os ratos agora se movem aleatoriamente	Каждая пойманная мышь считается за три мыши. Теперь мыши двигаются случайным образом.
Manada de lobos	Meute de loups	Wolfsrudel	Branco di lupi	狼群	ウルフパック	울프팩	Wilczy wataha	Alcateia	Волчья стая
Los lobos ahora aparecen en grupos de 2 o 3, y capturar al menos 5 lobos otorga un multiplicador de puntos x5.	Les loups apparaissent désormais en meutes de 2 ou 3, capturer au moins 5 loups donne x5 points mult	Wölfe erscheinen jetzt in Rudeln von 2 oder 3, das Einfangen von mindestens 5 Wölfen gibt x5 Punkte Multiplikator	I lupi ora si generano in branchi di 2 o 3, catturare almeno 5 lupi dà x5 punti moltiplicatori	狼现在以 2 或 3 只为一队出现，捕获至少 5 只狼可获得 x5 点积分	オオカミは2匹または3匹の群れで出現するようになり、少なくとも5匹のオオカミを捕獲すると5倍のポイントが獲得できる。	늑대는 이제 2마리 또는 3마리씩 무리 지어 생성되며 최소 5마리의 늑대를 잡으면 5배의 포인트를 얻습니다.	Wilki pojawiają się teraz w grupach po 2 lub 3 osobniki. Złapanie co najmniej 5 wilków daje mnożnik x5 punktów.	Os lobos agora aparecem em grupos de 2 ou 3, capturar pelo menos 5 lobos dá x5 pontos mult	Волки теперь появляются стаями по 2 или 3 особи. Поимка хотя бы 5 волков даёт множитель в 5 очков.
Valor absoluto	Valeur absolue	Absoluter Wert	Valore assoluto	绝对值	絶対値	절대값	Wartość bezwzględna	Valor Absoluto	Абсолютная ценность
Si el resultado final de un lazo es negativo, será positivo en su lugar	Si le résultat final d'un lasso est négatif, il sera positif à la place	Wenn das Endergebnis eines Lassos negativ ist, wird es stattdessen positiv sein	Se il risultato finale di un lazo è negativo, sarà invece positivo	如果套索的最终结果为负，则它将变为正	投げ縄の最終結果がマイナスの場合はプラスになる	올가미의 최종 결과가 음수이면 대신 양수가 됩니다.	Jeśli końcowy wynik lassa będzie negatywny, to zamiast tego będzie pozytywny	Se o resultado final de um laço for negativo, ele será positivo	Если конечный результат лассо отрицательный, он будет положительным.
Subastador	Commissaire-priseur	Auktionator	Banditore	拍卖	競売人	경매인	Licytator	Leiloeiro	Аукционист
Los precios de los animales ahora están aleatorios en la tienda.	Les prix des animaux sont désormais randomisés dans la boutique	Die Tierpreise im Shop werden jetzt zufällig festgelegt.	I prezzi degli animali ora sono casuali nel negozio	商店里的动物价格现在是随机的	ショップ内の動物の価格がランダム化されるようになりました	이제 상점에서 동물 가격이 무작위로 결정됩니다.	Ceny zwierząt w sklepie są teraz losowe	Os preços dos animais agora são aleatórios na loja	Цены на животных в магазине теперь рандомизированы.
Biodiversidad	Biodiversité	Biodiversität	Biodiversità	生物多样性	生物多様性	생물다양성	Różnorodność biologiczna	Biodiversidade	Биоразнообразие
Gana +10 puntos por cada especie diferente capturada por lazo	Gagnez +10 points pour chaque espèce différente capturée par lasso	Verdienen Sie +10 Punkte für jede unterschiedliche Art, die Sie mit dem Lasso fangen.	Guadagna +10 punti per ogni specie diversa catturata con il lazo	每套索捕获一种不同的物种，即可获得 +10 分	投げ縄で捕獲した異なる種ごとに+10ポイントを獲得	올가미당 잡은 각 종에 대해 +10포인트 획득	Zdobądź +10 punktów za każdy inny gatunek upolowany na lasso	Ganhe +10 pontos para cada espécie diferente controlada por laço	Зарабатывайте +10 очков за каждый вид, пойманный с помощью лассо.
Cosecha abundante	Récolte abondante	Reiche Ernte	Raccolto abbondante	丰收	豊かな収穫	풍성한 수확	Obfite zbiory	Colheita abundante	Обильный урожай
+20 en efectivo adicional al final de la ronda	+20 cash supplémentaires à la fin du tour	+20 zusätzliches Bargeld am Ende der Runde	+20 contanti aggiuntivi alla fine del round	回合结束时 +20 额外现金	ラウンド終了時に+20の追加現金	라운드 종료 시 추가 현금 20개	+20 dodatkowej gotówki na koniec rundy	+20 em dinheiro adicional no final da rodada	+20 дополнительных денег в конце раунда
Reloj de captura	Capture d'horloge	Capture Clock	Cattura orologio	捕捉时钟	キャプチャクロック	캡처 클록	Przechwytywanie zegara	Relógio de captura	Захват часов
Cada lazo exitoso agrega 0,5 segundos al temporizador de la ronda.	Chaque lasso réussi ajoute 0,5 seconde au chronomètre du tour	Jedes erfolgreiche Lasso verlängert den Rundentimer um 0,5 Sekunden	Ogni lazo riuscito aggiunge 0,5 secondi al timer del round	每次成功套索都会为回合计时器增加 0.5 秒	投げ縄が成功するごとに、ラウンドタイマーに0.5秒が追加されます。	성공적인 올가미 하나당 라운드 타이머에 0.5초가 추가됩니다.	Każde udane lasso dodaje 0,5 sekundy do czasu trwania rundy	Cada laço bem-sucedido adiciona 0,5 segundos ao cronômetro da rodada	Каждое успешное лассо добавляет 0,5 секунды к таймеру раунда.
Captura de efectivo	Cash Catch	Bargeldfang	Cattura di denaro	现金捕获	キャッシュキャッチ	현금 캐치	Złap gotówkę	Captura de dinheiro	Денежный улов
+2 en efectivo por animal enlazado	+2 espèces par animal capturé au lasso	+2 Bargeld pro eingefangenem Tier	+2 contanti per animale catturato	每只套索动物 +2 现金	捕獲した動物1匹につき現金2ドル	+올가미로 묶은 동물 한 마리당 현금 2개	+2 gotówki za każde złapane zwierzę	+2 dinheiro por animal laçado	+2 наличных за каждое пойманное животное
Bolsa para monedas	Pochette à pièces	Münzbeutel	Portamonete	零钱包	コインポーチ	동전 주머니	Saszetka na monety	Bolsa para moedas	Мешочек для монет
Obtenga un interés en efectivo del 10% al final de cada ronda	Gagnez 10 % d'intérêt en espèces à la fin de chaque tour	Erhalten Sie am Ende jeder Runde 10 % Zinsen	Guadagna il 10% di interessi in contanti alla fine di ogni round	每轮结束时获得10%的现金利息	各ラウンドの終了時に10％の現金利息を獲得	각 라운드가 끝나면 10%의 현금 이자를 얻으세요	Zdobądź 10% odsetek gotówkowych na koniec każdej rundy	Ganhe 10% de juros em dinheiro no final de cada rodada	Получайте 10% наличными в конце каждого раунда
Pájaro temprano	Lève-tôt	Frühbucher	Early Bird	早鸟	早起き	얼리버드	Wczesny ptaszek	Madrugador	Ранняя пташка
El primer lazo de cada ronda vale el doble de puntos y dinero en efectivo.	Le premier lasso de chaque tour vaut le double de points et d'argent	Das erste Lasso jeder Runde bringt die doppelte Punktzahl und Bargeld	Il primo lazo di ogni round vale il doppio dei punti e denaro	每轮第一个套索可获得双倍积分和现金	各ラウンドの最初の投げ縄はポイントと現金が2倍になります	각 라운드의 첫 번째 올가미는 두 배의 포인트와 현금 가치가 있습니다.	Pierwsze lasso w każdej rundzie jest warte podwójne punkty i gotówkę	O primeiro laço de cada rodada vale o dobro de pontos e dinheiro	Первое лассо в каждом раунде приносит двойные очки и деньги.
Botella de hadas	Bouteille de fée	Feenflasche	Bottiglia delle fate	仙女瓶	妖精のボトル	요정 병	Butelka Wróżki	Garrafa de fada	Бутылка Феи
Si mantienes esta ventaja, evita la próxima vez que pierdas el requisito de puntos y descarta	Si vous détenez ce don, évitez la prochaine fois que vous perdriez face à l'exigence de points et défaussez-le	Wenn Sie diesen Segen halten, verhindern Sie das nächste Mal, dass Sie die Punkteanforderung verlieren und werfen Sie	Se hai questo vantaggio, evita la prossima volta che perderai il requisito dei punti e scartalo	如果持有此恩惠，则可防止下次因积分要求而失败并丢弃	この恩恵を保持している場合、次回ポイント要件に負けるのを防ぎ、捨てる	이 혜택을 보유하면 다음 번에 포인트 요구 사항에 실패하는 것을 방지하고 버리십시오.	Jeśli posiadasz ten dar, zapobiegnij kolejnej sytuacji, w której przegrasz z wymaganiem punktowym i odrzuć go	Se você tiver essa vantagem, evite a próxima vez que perder para o requisito de pontos e descarte	Если вы держите этот дар, предотвратите проигрыш в следующий раз из-за требования по очкам и сбросьте его.
Stock fresco	Bouillon frais	Frische Brühe	Brodo fresco	新鲜库存	新鮮な在庫	신선한 재고	Świeży zapas	Estoque fresco	Свежие запасы
Ahora se puede cambiar el nombre de la tienda tres veces por tienda, en lugar de una.	La boutique peut désormais être relancée trois fois par boutique, au lieu d'une	Der Shop kann jetzt dreimal pro Shop neu gewürfelt werden, statt einmal	Ora è possibile rinnovare il negozio tre volte per negozio, invece di una volta sola	每个商店现在可以重滚三次，而不是一次	ショップは1回ではなく3回再ロールできるようになりました	이제 상점당 한 번이 아닌 세 번까지 상점을 다시 시작할 수 있습니다.	Sklep można teraz przerzucać trzy razy na sklep, zamiast raz	A loja agora pode ser reiniciada três vezes por loja, em vez de uma vez	Теперь магазин можно пересдавать три раза на магазин, а не один раз.
Ave María	Je vous salue Marie	Ave Maria	Ave Maria	万福玛利亚	ヘイルメアリー	성모송	Zdrowaś Maryjo	Ave Maria	Аве Мария
Todos los puntos se duplican en los últimos 10 segundos de cada ronda.	Tous les points sont doublés dans les 10 dernières secondes de chaque tour	Alle Punkte werden in den letzten 10 Sekunden jeder Runde verdoppelt	Tutti i punti vengono raddoppiati negli ultimi 10 secondi di ogni round	每轮最后 10 秒内所有分数翻倍	各ラウンドの最後の10秒間は、すべてのポイントが2倍になります。	각 라운드의 마지막 10초 동안 모든 포인트가 두 배로 증가합니다.	Wszystkie punkty są podwajane w ostatnich 10 sekundach każdej rundy	Todos os pontos são dobrados nos últimos 10 segundos de cada rodada	Все очки удваиваются в последние 10 секунд каждого раунда.
Mentalidad de manada	Mentalité grégaire	Herdenmentalität	Mentalità del gregge	从众心理	群衆心理	무리 심리	Mentalność stadna	Mentalidade de rebanho	Стадное чувство
Obtén un bono de puntos del +20% por cada personaje que no sea depredador en un lazo, en lugar del 10%.	Gagnez +20% de points bonus pour chaque non-prédateur dans un lasso, au lieu de 10%	Erhalten Sie +20 % Punktebonus für jeden Nicht-Raubtier in einem Lasso, statt 10 %	Ottieni un bonus di punti del +20% per ogni non predatore in un lazo, invece del 10%	每套索中有一个非捕食者，获得 +20% 的积分奖励，而不是 10%	投げ縄で捕食されない動物ごとに、10%ではなく20%のポイントボーナスを獲得	올가미에 있는 포식자가 아닌 개체 하나당 10%가 아닌 +20% 포인트 보너스를 얻습니다.	Zyskaj +20% punktów premii za każdego osobnika, który nie jest drapieżnikiem, w lassie, zamiast 10%	Ganhe +20% de bônus em pontos para cada não predador em um laço, em vez de 10%	Получите бонус в размере +20% к очкам за каждого нехищника в лассо вместо 10%.
reloj de bolsillo	Montre de poche	Taschenuhr	Orologio da tasca	怀表	懐中時計	포켓워치	Zegarek kieszonkowy	Relógio de bolso	Карманные часы
La duración de la ronda aumentó en 10 segundos	La durée du round a été augmentée de 10 secondes	Rundenlänge um 10 Sekunden erhöht	Durata del round aumentata di 10 secondi	回合长度增加 10 秒	ラウンドの長さが10秒増加しました	라운드 길이가 10초 증가했습니다.	Długość rundy zwiększona o 10 sekund	A duração da rodada aumentou em 10 segundos	Длина раунда увеличена на 10 секунд.
Amigos de puntos	Point Pals	Punktfreunde	Point Pals	点帕尔斯	ポイントパルズ	포인트 팔스	Point Pals	Point Pals	Пойнт Палс
+3 puntos por animal enlazado	+3 points par animal capturé	+3 Punkte pro eingefangenem Tier	+3 punti per ogni animale catturato	每只被套住的动物 +3 分	捕獲した動物1匹につき+3ポイント	올가미에 묶인 동물당 +3점	+3 punkty za każde złapane zwierzę	+3 pontos por animal laçado	+3 очка за каждое пойманное животное
Purga de depredadores	Purge des prédateurs	Raubtier-Säuberung	Purga dei predatori	掠食者清除	プレデターパージ	프레데터 퍼지	Czystka drapieżników	Expurgo de Predadores	Чистка хищников
La pantalla de selección de depredador ahora solo aparece cada 5 rondas en lugar de cada 3 rondas	L'écran de sélection des prédateurs n'apparaît désormais que tous les 5 tours au lieu de tous les 3 tours	Der Predator-Auswahlbildschirm erscheint jetzt nur noch alle 5 Runden statt alle 3 Runden	La schermata di selezione del predatore ora appare solo ogni 5 round invece che ogni 3 round	捕食者选择屏幕现在每 5 轮出现一次，而不是每 3 轮出现一次	プレデター選択画面は、3ラウンドごとではなく5ラウンドごとに表示されるようになりました。	포식자 선택 화면은 이제 3라운드마다가 아닌 5라운드마다 나타납니다.	Ekran wyboru Predatora pojawia się teraz tylko co 5 rund, a nie co 3 rundy	A tela de seleção de predadores agora só aparece a cada 5 rodadas em vez de a cada 3 rodadas	Экран выбора хищника теперь появляется только каждые 5 раундов вместо каждых 3 раундов.
Veterano peón agrícola	Ouvrier agricole vétéran	Landarbeiter-Veteran	bracciante agricolo veterano	经验丰富的农场工人	ベテラン農場労働者	베테랑 농장 일꾼	Weteran-robotnik	Trabalhador rural veterano	Ветеран-фермер
Mientras estés en tu mazo de bendiciones, todos los animales tendrán su nivel aumentado en 2	Tant qu'ils sont dans votre deck de bénédictions, tous les animaux voient leur niveau augmenté de 2	Während sie sich in deinem Segensdeck befinden, wird das Level aller Tiere um 2 erhöht	Mentre sei nel tuo mazzo dei doni, tutti gli animali hanno il loro livello aumentato di 2	当你的恩赐牌组中所有动物的等级增加 2	あなたの恩恵デッキにある間、すべての動物のレベルは2上昇します	당신의 보너스 덱에 있는 동안 모든 동물의 레벨이 2만큼 증가합니다.	Gdy znajdujesz się w talii dobrodziejstw, wszystkie zwierzęta mają zwiększony poziom o 2	Enquanto estiver no seu baralho de bênçãos, todos os animais terão seu nível aumentado em 2	Пока вы находитесь в колоде благ, уровень всех животных увеличивается на 2.
¡Salvado!	Sauvé!	Gespeichert!	Salvato!	已保存！	保存しました！	저장됨!	Zapisane!	Salvo!	Сохранено!
Torneo gratuito	Freeroll	Freeroll	Freeroll	免费锦标赛	フリーロール	프리롤	Freeroll	Freeroll	Фриролл
Otorga 1 renovación gratuita por tienda	Accorde 1 relance gratuite par boutique	Gewährt 1 kostenlosen Reroll pro Shop	Concede 1 rilancio gratuito per negozio	每家商店可获得 1 次免费重掷机会	ショップごとに1回の無料リロールを付与	상점당 1회 무료 재시전 가능	Przyznaje 1 darmowy ponowny rzut na sklep	Concede 1 nova rodada grátis por loja	Предоставляет 1 бесплатный повторный бросок на магазин
Bonificación de beneficios	Bonus d'avantages	Segensbonus	Bonus di benefici	恩惠奖金	恩恵ボーナス	보너스 보너스	Bonus Boons	Bônus de Bônus	Бонус Бонус
+2 puntos y +1 en efectivo por cada beneficio en tu mazo por cada lazo exitoso	+2 points et +1 cash par avantage dans votre deck pour chaque lasso réussi	+2 Punkte und +1 Bargeld pro Segen in deinem Deck für jedes erfolgreiche Lasso	+2 punti e +1 denaro per ogni beneficio nel tuo mazzo per ogni lazo riuscito	每成功套索一次，牌组中每增加一个恩赐，即可获得 +2 分和 +1 现金	投げ縄が成功するごとにデッキ内の恩恵ごとに+2ポイントと+1キャッシュ	성공적인 올가미 하나당 덱에 있는 보너스 하나당 +2 포인트와 +1 현금	+2 punkty i +1 gotówki za każdy dar w talii za każde udane lasso	+2 pontos e +1 dinheiro por dádiva no seu baralho para cada laço bem-sucedido	+2 очка и +1 денежный приз за каждое удачное лассо в вашей колоде
Máscara de muchos	Masque de la multitude	Maske der Vielen	Maschera di molti	众多面具	多くのマスク	많은 사람의 가면	Maska Wielu	Máscara de Muitos	Маска Множества
